mic0_pos_x,mic0_pos_y,mic0_pos_z,mic1_pos_x,mic1_pos_y,mic1_pos_z,mic2_pos_x,mic2_pos_y,mic2_pos_z,mic3_pos_x,mic3_pos_y,mic3_pos_z,config_id,fs_hz,room_dim_x,room_dim_y,room_dim_z,rt60_target_s,is_anechoic,source_pos_x,source_pos_y,source_pos_z,array_center_x_config,array_center_y_config,array_center_z_config,array_center_x_actual,array_center_y_actual,array_center_z_actual,array_orientation_axis,actual_dist_src_to_array_center_m,actual_azimuth_src_to_array_center_deg,angle_deg,actual_elevation_src_to_array_center_deg,num_mics_configured,num_mics_processed,mic_separation_m,rir_file_basename,snr_db,mic_pair,mic_pair_distance_m,tdoa_real_s,tdoa_method,tdoa_estimated_s,tdoa_error_s,tdoa_computation_time_s,doa_estimated_from_pair_deg,tdoa_method_for_avg_doa,doa_array_estimated_deg,doa_array_real_deg,doa_array_error_deg
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,room10x10x10_rt60_0.05_mics_4_az_0_el_15,48000,10.0,10.0,10.0,0.05,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,4,4,0.1,rir_room10x10x10_rt60_0.05_mics_4_az_0_el_15,90,0-2,0.2,0.0005641212363006933,ml,0.0008541666666666667,0.0002900454303659734,0.14257650000035937,0.0,,,,
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,room10x10x10_rt60_0.05_mics_4_az_0_el_15,48000,10.0,10.0,10.0,0.05,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,4,4,0.1,rir_room10x10x10_rt60_0.05_mics_4_az_0_el_15,90,0-3,0.30000000000000004,0.0008446731221743366,cc,0.0008541666666666667,9.493544492330088e-06,0.01623108300009335,12.42001061370025,,,,
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,room10x10x10_rt60_0.05_mics_4_az_0_el_15,48000,10.0,10.0,10.0,0.05,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,4,4,0.1,rir_room10x10x10_rt60_0.05_mics_4_az_0_el_15,90,0-3,0.30000000000000004,0.0008446731221743366,phat,0.0012916666666666667,0.00044699354449233004,0.15093520800110127,0.0,,,,
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,room10x10x10_rt60_0.05_mics_4_az_0_el_15,48000,10.0,10.0,10.0,0.05,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,4,4,0.1,rir_room10x10x10_rt60_0.05_mics_4_az_0_el_15,90,0-3,0.30000000000000004,0.0008446731221743366,scot,0.0012916666666666667,0.00044699354449233004,0.14065025000127207,0.0,,,,
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,room10x10x10_rt60_0.05_mics_4_az_0_el_15,48000,10.0,10.0,10.0,0.05,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,4,4,0.1,rir_room10x10x10_rt60_0.05_mics_4_az_0_el_15,90,0-3,0.30000000000000004,0.0008446731221743366,ml,0.0012916666666666667,0.00044699354449233004,0.14004033299897856,0.0,,,,
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,room10x10x10_rt60_0.05_mics_4_az_0_el_15,48000,10.0,10.0,10.0,0.05,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,4,4,0.1,rir_room10x10x10_rt60_0.05_mics_4_az_0_el_15,90,1-2,0.1,0.0002816051297053451,cc,0.0002916666666666667,1.0061536961321609e-05,0.01564670900006604,0.0,,,,
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,room10x10x10_rt60_0.05_mics_4_az_0_el_15,48000,10.0,10.0,10.0,0.05,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,4,4,0.1,rir_room10x10x10_rt60_0.05_mics_4_az_0_el_15,90,1-2,0.1,0.0002816051297053451,phat,0.0004375,0.00015589487029465493,0.14023475000067265,0.0,,,,
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,room10x10x10_rt60_0.05_mics_4_az_0_el_15,48000,10.0,10.0,10.0,0.05,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,4,4,0.1,rir_room10x10x10_rt60_0.05_mics_4_az_0_el_15,90,1-2,0.1,0.0002816051297053451,scot,0.0004375,0.00015589487029465493,0.14027333299964084,0.0,,,,
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,room10x10x10_rt60_0.05_mics_4_az_0_el_15,48000,10.0,10.0,10.0,0.05,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,4,4,0.1,rir_room10x10x10_rt60_0.05_mics_4_az_0_el_15,90,1-2,0.1,0.0002816051297053451,ml,0.0004375,0.00015589487029465493,0.14448554200134822,0.0,,,,
2.35,2.5,2.5,2.45,2.5,2.5,2.55,2.5,2.5,2.65,2.5,2.5,room10x10x10_rt60_0.05_mics_4_az_0_el_15,48000,10.0,10.0,10.0,0.05,,4.431851652578136,2.5,3.0176380902050415,2.5,2.5,2.5,2.5,2.5,2.5,x,2.0,0.0,180,15.0,4,4,0.1,rir_room10x10x10_rt60_0.05_mics_4_az_0_el_15,90,1-3,0.2,0.0005621570155789884,cc,0.0005625,3.4298442101157647e-07,0.015512957999817445,15.271729393963701,,,,
